time,G(i),H_sun,T2m,WS10m,Int
20200120:0409,0.0,0.0,4.88,4.0,0.0
20200120:0509,0.0,0.0,4.3,4.28,0.0
20200120:0609,0.0,0.0,3.77,4.62,0.0
20200120:0709,59.44,3.71,3.86,4.83,0.0
20200120:0809,337.15,14.53,4.76,5.03,0.0
20200120:0909,713.63,24.02,6.92,6.28,0.0
20200120:1009,887.38,31.54,8.92,7.03,0.0
20200120:1109,980.56,36.22,10.69,7.52,0.0
20200120:1209,988.66,37.28,12.15,7.79,0.0
20200120:1309,911.63,34.52,13.34,7.79,0.0
20200120:1409,791.32,28.45,14.25,7.93,0.0
20200120:1509,588.67,19.95,14.77,8.28,0.0
20200120:1609,261.6,9.79,14.75,8.62,0.0
20200120:1709,0.0,0.0,13.83,8.0,0.0
20200120:1809,0.0,0.0,13.09,8.21,0.0
20200120:1909,0.0,0.0,13.99,8.34,0.0
20200120:2009,0.0,0.0,14.6,8.28,0.0
20200120:2109,0.0,0.0,15.08,8.69,0.0
20200120:2209,0.0,0.0,15.0,8.34,0.0
20200120:2309,0.0,0.0,14.55,7.59,0.0
20200121:0009,0.0,0.0,13.55,6.55,0.0
20200121:0109,0.0,0.0,12.7,5.72,0.0
20200121:0209,0.0,0.0,11.72,5.03,0.0
20200121:0309,0.0,0.0,10.82,4.55,0.0
20200121:0409,0.0,0.0,9.95,4.34,0.0
20200121:0509,0.0,0.0,9.27,4.14,0.0
20200121:0609,0.0,0.0,8.54,4.0,0.0
20200121:0709,114.63,3.79,8.57,4.07,0.0
20200121:0809,404.94,14.62,9.37,3.72,0.0
20200121:0909,684.79,24.15,12.3,4.0,0.0
20200121:1009,917.14,31.71,14.83,5.24,0.0
20200121:1109,1039.59,36.42,16.87,6.28,0.0
20200121:1209,1038.57,37.5,18.4,7.17,0.0
20200121:1309,969.24,34.75,19.39,7.86,0.0
20200121:1409,792.75,28.68,19.69,8.21,0.0
20200121:1509,579.78,20.16,19.61,8.14,0.0
20200121:1609,284.57,9.98,19.1,7.72,0.0
20200121:1709,0.0,0.0,17.84,5.93,0.0
20200121:1809,0.0,0.0,16.36,4.48,0.0
20200121:1909,0.0,0.0,15.67,2.9,0.0
20200121:2009,0.0,0.0,14.28,2.34,0.0
20200121:2109,0.0,0.0,13.02,1.86,0.0
20200121:2209,0.0,0.0,12.87,1.59,0.0
20200121:2309,0.0,0.0,12.42,1.59,0.0
20200122:0009,0.0,0.0,11.44,1.72,0.0
20200122:0109,0.0,0.0,10.24,1.93,0.0
20200122:0209,0.0,0.0,9.77,1.93,0.0
20200122:0309,0.0,0.0,10.51,1.59,0.0
20200122:0409,0.0,0.0,11.18,1.1,0.0
20200122:0509,0.0,0.0,10.92,0.9,0.0
20200122:0609,0.0,0.0,10.77,0.76,0.0
20200122:0709,139.45,3.87,6.71,2.21,0.0
20200122:0809,415.78,14.73,7.13,2.07,0.0
