time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130112:0700,3.46,63.6,21.0,249.5,11.0,248.0,3.72,44.0,99079.0
20130112:0800,4.05,61.85,221.0,650.66,66.0,248.0,3.31,44.0,99108.0
20130112:0900,7.55,49.3,418.0,778.71,100.0,251.4,3.03,41.0,99205.0
20130112:1000,11.68,37.9,577.0,847.98,120.0,257.8,3.03,35.0,99176.0
20130112:1100,14.91,31.05,679.0,884.06,130.0,265.6,3.17,29.0,99195.0
20130112:1200,17.26,26.55,713.0,893.7,133.0,272.4,3.31,27.0,99079.0
20130112:1300,18.83,23.3,674.0,866.35,136.0,277.8,3.52,25.0,99011.0
20130112:1400,19.76,20.85,566.0,797.89,136.0,280.8,3.86,23.0,98963.0
20130112:1500,20.15,19.5,409.0,729.75,111.0,281.8,4.07,21.0,98953.0
20130112:1600,20.0,19.35,210.0,558.32,77.0,280.8,4.21,20.0,98963.0
20130112:1700,18.92,21.05,0.0,0.0,0.0,278.2,3.66,10.0,98972.0
20130112:1800,16.82,24.7,0.0,0.0,0.0,274.4,3.86,5.0,98992.0
20130112:1900,15.84,27.75,0.0,0.0,0.0,274.2,3.93,8.0,98972.0
20130112:2000,14.54,30.2,0.0,0.0,0.0,271.4,4.0,16.0,98992.0
20130112:2100,13.39,32.3,0.0,0.0,0.0,269.2,4.07,25.0,99021.0
20130112:2200,12.3,34.3,0.0,0.0,0.0,267.0,4.07,32.0,99031.0
20130112:2300,11.25,36.45,0.0,0.0,0.0,263.8,4.0,38.0,99040.0
20130113:0000,10.22,39.0,0.0,0.0,0.0,262.2,4.0,42.0,99040.0
20130113:0100,9.26,41.9,0.0,0.0,0.0,259.8,4.0,45.0,99021.0
20130113:0200,8.34,45.15,0.0,0.0,0.0,257.6,4.07,43.0,99021.0
20130113:0300,7.43,48.8,0.0,0.0,0.0,255.4,3.93,41.0,98992.0
20130113:0400,6.5,52.75,0.0,0.0,0.0,253.6,3.86,42.0,98992.0
20130113:0500,5.63,56.55,0.0,0.0,0.0,251.4,3.79,44.0,98992.0
20130113:0600,4.82,60.05,0.0,0.0,0.0,249.6,3.72,48.0,98982.0
20130113:0700,4.28,62.1,21.0,248.19,11.0,247.6,3.79,59.0,99060.0
20130113:0800,4.76,59.05,222.0,649.09,67.0,247.6,3.38,66.0,99060.0
20130113:0900,7.98,46.15,419.0,776.84,101.0,250.4,2.9,76.0,99137.0
20130113:1000,11.89,34.4,579.0,849.47,120.0,256.8,2.48,88.0,99108.0
20130113:1100,15.03,27.25,677.0,867.02,137.0,264.4,2.07,108.0,99031.0
20130113:1200,17.21,23.05,720.0,912.16,126.0,272.0,1.59,137.0,98924.0
20130113:1300,18.52,20.6,681.0,883.69,130.0,277.8,1.31,175.0,98788.0
