time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20161201:1000,11.15,65.85,434.0,346.74,251.0,310.8,3.52,93.0,96941.0
20161201:1100,12.31,61.0,477.0,346.69,277.0,308.4,3.24,107.0,96866.0
20161201:1200,13.41,55.6,639.0,1012.22,59.0,321.0,3.24,117.0,96800.0
20161201:1300,13.97,51.65,399.0,274.98,257.0,324.2,3.17,125.0,96659.0
20161201:1400,14.42,48.5,434.0,902.84,63.0,305.8,2.83,130.0,96621.0
20161201:1500,14.55,46.85,234.0,564.88,85.0,298.6,2.9,134.0,96584.0
20161201:1600,14.24,46.9,55.0,317.74,28.0,292.0,2.76,137.0,96565.0
20161201:1700,13.25,49.45,0.0,0.0,0.0,282.4,2.28,131.0,96565.0
20161201:1800,12.37,51.9,0.0,0.0,0.0,278.8,2.14,127.0,96621.0
20161201:1900,11.86,53.7,0.0,0.0,0.0,287.6,1.79,121.0,96631.0
20161201:2000,10.86,57.6,0.0,0.0,0.0,289.2,1.45,124.0,96687.0
20161201:2100,10.09,60.1,0.0,0.0,0.0,280.8,1.45,135.0,96640.0
20161201:2200,9.3,62.75,0.0,0.0,0.0,274.2,1.59,160.0,96640.0
20161201:2300,8.47,65.8,0.0,0.0,0.0,276.6,1.86,185.0,96621.0
20161202:0000,7.65,68.85,0.0,0.0,0.0,275.8,2.28,203.0,96603.0
20161202:0100,7.06,70.75,0.0,0.0,0.0,276.0,2.48,209.0,96556.0
20161202:0200,6.5,72.55,0.0,0.0,0.0,271.2,2.62,215.0,96499.0
20161202:0300,6.03,73.85,0.0,0.0,0.0,272.4,2.76,227.0,96443.0
20161202:0400,5.55,75.25,0.0,0.0,0.0,269.2,2.9,243.0,96396.0
20161202:0500,5.2,76.2,0.0,0.0,0.0,269.8,3.24,258.0,96377.0
20161202:0600,4.74,78.1,0.0,0.0,0.0,269.8,3.31,269.0,96386.0
20161202:0700,4.77,78.0,66.0,200.62,44.0,269.2,3.59,278.0,96386.0
20161202:0800,6.9,67.35,264.0,632.53,84.0,269.6,3.52,279.0,96424.0
20161202:0900,10.42,53.3,426.0,738.86,111.0,274.2,3.86,275.0,96461.0
20161202:1000,12.99,46.05,547.0,809.1,122.0,280.2,4.21,270.0,96414.0
20161202:1100,14.66,44.15,600.0,800.47,140.0,286.2,4.48,266.0,96302.0
20161202:1200,15.77,42.5,602.0,829.94,128.0,291.2,4.55,263.0,96217.0
20161202:1300,16.46,40.9,531.0,786.55,126.0,293.8,4.55,260.0,96095.0
20161202:1400,16.84,39.95,406.0,727.11,108.0,294.8,4.62,258.0,96010.0
20161202:1500,16.84,39.95,244.0,657.59,71.0,294.4,4.55,254.0,95972.0
20161202:1600,16.34,41.15,60.0,425.36,24.0,292.2,4.14,248.0,95944.0
20161202:1700,14.96,44.85,0.0,0.0,0.0,289.0,3.45,235.0,95944.0
20161202:1800,13.74,48.4,0.0,0.0,0.0,285.6,3.59,232.0,95944.0
20161202:1900,12.95,51.35,0.0,0.0,0.0,286.6,3.93,236.0,95935.0
20161202:2000,12.15,53.9,0.0,0.0,0.0,284.6,4.14,239.0,95953.0
20161202:2100,11.46,56.15,0.0,0.0,0.0,284.0,4.41,241.0,95944.0
20161202:2200,10.98,57.55,0.0,0.0,0.0,288.8,4.48,243.0,95944.0
20161202:2300,10.69,58.1,0.0,0.0,0.0,297.0,4.69,245.0,95944.0
20161203:0000,10.5,58.2,0.0,0.0,0.0,305.6,4.62,248.0,95925.0
20161203:0100,9.99,59.45,0.0,0.0,0.0,296.6,4.69,248.0,95878.0
20161203:0200,9.66,59.85,0.0,0.0,0.0,300.0,4.83,247.0,95869.0
20161203:0300,9.3,60.1,0.0,0.0,0.0,296.6,4.83,248.0,95840.0
20161203:0400,9.44,58.35,0.0,0.0,0.0,316.4,4.83,250.0,95812.0
20161203:0500,9.57,56.75,0.0,0.0,0.0,325.2,4.97,250.0,95812.0
20161203:0600,9.35,57.6,0.0,0.0,0.0,320.0,5.17,253.0,95822.0
20161203:0700,9.65,57.5,7.0,0.0,7.0,326.8,5.03,257.0,95831.0
20161203:0800,9.87,58.1,153.0,78.06,131.0,312.4,4.83,257.0,95897.0
20161203:0900,10.98,55.1,322.0,273.78,206.0,312.4,5.17,257.0,95906.0
20161203:1000,12.28,52.65,229.0,15.3,221.0,323.0,5.45,258.0,95925.0
20161203:1100,13.93,49.05,463.0,319.63,280.0,325.6,5.17,259.0,95803.0
20161203:1200,14.7,47.15,388.0,158.07,298.0,336.4,4.55,252.0,95690.0
20161203:1300,15.61,44.5,488.0,593.93,183.0,343.0,4.48,244.0,95615.0
20161203:1400,16.16,42.85,344.0,408.45,177.0,331.4,4.69,240.0,95549.0
20161203:1500,16.5,41.75,177.0,205.72,123.0,302.2,4.9,239.0,95539.0
20161203:1600,16.33,41.9,46.0,165.9,32.0,303.0,4.62,239.0,95539.0
20161203:1700,15.16,45.1,0.0,0.0,0.0,297.4,3.45,230.0,95568.0
20161203:1800,14.02,48.35,0.0,0.0,0.0,294.8,3.17,214.0,95605.0
20161203:1900,13.55,49.9,0.0,0.0,0.0,292.6,3.24,212.0,95643.0
20161203:2000,12.86,50.65,0.0,0.0,0.0,291.6,3.66,213.0,95690.0
20161203:2100,12.23,51.0,0.0,0.0,0.0,290.6,3.86,216.0,95699.0
20161203:2200,11.64,51.1,0.0,0.0,0.0,288.6,3.86,221.0,95690.0
20161203:2300,11.1,51.0,0.0,0.0,0.0,289.4,3.93,225.0,95671.0
20161204:0000,10.65,50.8,0.0,0.0,0.0,291.0,3.93,229.0,95680.0
